Tiempo (s) Serie Nº 1	Pressió absoluta (torr) Serie Nº 1	Temperatura (°C) Serie Nº 1
159,800	16,258	6,71
160,000	16,487	6,72
160,200	16,389	6,72
160,400	16,716	6,71
160,600	16,552	6,71
160,800	16,602	6,70
161,000	16,520	6,70
161,200	16,585	6,71
161,400	16,520	6,71
161,600	16,438	6,71
161,800	16,716	6,71
162,000	16,798	6,71
162,200	16,945	6,71
162,400	16,716	6,71
162,600	16,847	6,71
162,800	16,569	6,71
163,000	16,863	6,71
163,200	16,798	6,71
163,400	16,896	6,71
163,600	16,798	6,70
163,800	16,863	6,71
164,000	16,700	6,70
164,200	16,732	6,70
164,400	16,765	6,70
164,600	16,863	6,71
164,800	16,782	6,70
165,000	16,749	6,70
165,200	16,880	6,70
165,400	17,092	6,70
165,600	16,929	6,70
165,800	16,700	6,70
166,000	16,569	6,69
166,200	16,896	6,70
166,400	16,798	6,70
166,600	16,962	6,70
166,800	16,945	6,70
167,000	16,798	6,69
167,200	16,732	6,70
167,400	16,814	6,69
167,600	16,765	6,70
167,800	16,962	6,69
168,000	16,847	6,70
168,200	16,962	6,69
168,400	16,994	6,69
168,600	16,929	6,69
168,800	17,174	6,69
169,000	16,912	6,69
169,200	17,043	6,69
169,400	17,158	6,69
169,600	17,043	6,69
169,800	17,240	6,69
170,000	17,011	6,69
170,200	17,158	6,68
170,400	16,798	6,69
170,600	17,223	6,69
170,800	17,158	6,69
171,000	17,207	6,69
171,200	17,092	6,69
171,400	17,338	6,69
171,600	16,945	6,68
171,800	17,158	6,69
172,000	17,109	6,68
172,200	17,272	6,69
172,400	17,256	6,68
172,600	17,125	6,69
172,800	17,027	6,69
173,000	17,109	6,68
173,200	17,256	6,69
173,400	17,076	6,68
173,600	17,223	6,68
173,800	17,501	6,69
174,000	17,501	6,68
174,200	17,501	6,69
174,400	17,272	6,69
174,600	17,338	6,69
174,800	17,289	6,68
175,000	17,387	6,69
175,200	17,191	6,69
175,400	17,338	6,69
175,600	17,240	6,69
175,800	17,109	6,69
176,000	17,191	6,69
176,200	17,420	6,69
176,400	17,223	6,69
176,600	17,125	6,69
176,800	17,436	6,69
177,000	17,223	6,69
177,200	17,420	6,69
177,400	17,338	6,69
177,600	17,731	6,69
177,800	17,698	6,68
178,000	17,501	6,69
178,200	17,616	6,68
178,400	17,469	6,69
178,600	17,665	6,69
178,800	17,518	6,69
179,000	17,338	6,69
179,200	17,681	6,68
179,400	17,518	6,69
179,600	17,583	6,68
179,800	17,567	6,69
180,000	17,518	6,69
180,200	17,403	6,69
180,400	17,518	6,69
180,600	17,518	6,69
180,800	17,551	6,69
181,000	17,649	6,68
181,200	17,567	6,69
181,400	17,632	6,68
181,600	17,649	6,68
181,800	17,616	6,68
182,000	17,632	6,68
182,200	17,518	6,68
182,400	17,485	6,68
182,600	17,338	6,68
182,800	17,681	6,68
183,000	17,600	6,67
183,200	17,485	6,68
183,400	17,747	6,68
183,600	17,796	6,68
183,800	17,747	6,68
184,000	17,649	6,68
184,200	17,927	6,68
184,400	17,763	6,68
184,600	17,829	6,68
184,800	17,861	6,67
185,000	18,009	6,67
185,200	17,845	6,67
185,400	18,009	6,67
185,600	17,911	6,67
185,800	17,992	6,67
186,000	18,156	6,67
186,200	18,009	6,67
186,400	17,927	6,67
186,600	18,009	6,67
186,800	18,025	6,68
187,000	18,140	6,67
187,200	18,074	6,68
187,400	17,992	6,67
187,600	18,140	6,67
187,800	18,271	6,67
188,000	18,189	6,67
188,200	18,009	6,67
188,400	18,041	6,67
188,600	18,091	6,68
188,800	17,861	6,67
189,000	17,812	6,67
189,200	17,894	6,68
189,400	17,960	6,68
189,600	17,747	6,67
189,800	17,845	6,68
190,000	17,992	6,68
190,200	18,058	6,68
190,400	17,829	6,68
190,600	18,074	6,67
190,800	18,287	6,67
191,000	18,041	6,67
191,200	17,943	6,68
191,400	18,123	6,67
191,600	18,123	6,68
191,800	17,976	6,68
192,000	17,878	6,67
192,200	18,074	6,67
192,400	18,058	6,67
192,600	18,041	6,67
192,800	18,303	6,67
193,000	18,352	6,67
193,200	18,451	6,67
193,400	18,352	6,68
193,600	18,205	6,67
193,800	18,287	6,66
194,000	18,041	6,67
194,200	18,434	6,66
194,400	18,418	6,66
194,600	18,418	6,66
194,800	18,303	6,66
195,000	18,581	6,66
195,200	18,500	6,67
195,400	18,369	6,67
195,600	18,483	6,66
195,800	18,434	6,67
196,000	18,451	6,66
196,200	18,532	6,66
196,400	18,352	6,66
196,600	18,467	6,66
196,800	18,565	6,67
197,000	18,451	6,67
197,200	18,451	6,66
197,400	18,451	6,66
197,600	18,745	6,66
197,800	18,663	6,66
198,000	18,500	6,66
198,200	18,876	6,66
198,400	18,680	6,66
198,600	18,532	6,67
198,800	18,663	6,67
199,000	18,549	6,67
199,200	18,843	6,67
199,400	18,729	6,67
199,600	18,680	6,67
199,800	18,630	6,67
200,000	18,745	6,67
200,200	18,532	6,67
200,400	18,729	6,68
200,600	18,876	6,68
200,800	18,745	6,68
201,000	18,696	6,68
201,200	18,860	6,67
201,400	18,810	6,68
201,600	18,990	6,68
201,800	18,827	6,67
202,000	19,089	6,67
202,200	18,990	6,67
202,400	18,974	6,68
202,600	18,958	6,68
202,800	19,007	6,67
203,000	18,647	6,68
203,200	19,056	6,68
203,400	19,007	6,68
203,600	19,203	6,68
203,800	18,909	6,68
204,000	18,843	6,69
204,200	18,827	6,68
204,400	18,990	6,68
204,600	19,007	6,68
204,800	19,203	6,68
205,000	19,007	6,68
205,200	19,089	6,68
205,400	19,269	6,68
205,600	19,072	6,68
205,800	19,089	6,68
206,000	19,252	6,68
206,200	19,121	6,68
206,400	19,007	6,69
206,600	18,909	6,68
206,800	19,121	6,69
207,000	19,089	6,68
207,200	19,154	6,69
207,400	19,007	6,68
207,600	19,301	6,68
207,800	19,285	6,68
208,000	19,203	6,68
208,200	19,252	6,69
208,400	19,154	6,68
208,600	19,187	6,68
208,800	19,040	6,68
209,000	19,040	6,68
209,200	19,285	6,68
209,400	19,220	6,68
209,600	18,958	6,69
209,800	19,236	6,68
210,000	19,236	6,68
210,200	19,383	6,68
210,400	19,334	6,68
210,600	19,400	6,68
210,800	19,203	6,68
211,000	19,383	6,68
211,200	19,383	6,68
211,400	19,530	6,68
211,600	19,367	6,68
211,800	19,432	6,68
212,000	19,465	6,69
212,200	19,563	6,68
212,400	19,252	6,68
212,600	19,350	6,68
212,800	19,530	6,68
213,000	19,547	6,68
213,200	19,301	6,69
213,400	19,432	6,69
213,600	19,318	6,69
213,800	19,547	6,68
214,000	19,580	6,69
214,200	19,580	6,69
214,400	19,580	6,68
214,600	19,923	6,68
214,800	19,792	6,69
215,000	19,809	6,68
215,200	19,612	6,69
215,400	19,858	6,68
215,600	19,809	6,68
215,800	19,890	6,68
216,000	19,874	6,68
216,200	19,776	6,68
216,400	19,678	6,68
216,600	19,841	6,68
216,800	19,923	6,68
217,000	19,825	6,68
217,200	19,923	6,67
217,400	19,939	6,68
217,600	19,612	6,68
217,800	19,645	6,68
218,000	19,580	6,68
218,200	19,989	6,68
218,400	19,956	6,68
218,600	19,841	6,68
218,800	20,070	6,68
219,000	19,874	6,67
219,200	19,989	6,68
219,400	20,070	6,68
219,600	20,070	6,68
219,800	19,972	6,68
220,000	20,087	6,68
220,200	20,185	6,68
220,400	20,267	6,68
220,600	20,038	6,67
220,800	20,119	6,68
221,000	20,038	6,68
221,200	20,005	6,67
221,400	20,103	6,68
221,600	20,234	6,67
221,800	19,841	6,68
222,000	20,169	6,68
222,200	20,185	6,67
222,400	20,152	6,68
222,600	20,218	6,67
222,800	20,283	6,67
223,000	20,201	6,68
223,200	20,136	6,67
223,400	20,119	6,68
223,600	20,152	6,68
223,800	20,169	6,68
224,000	20,054	6,68
224,200	20,119	6,68
224,400	20,218	6,67
224,600	20,021	6,67
224,800	20,365	6,67
225,000	20,201	6,68
225,200	20,316	6,69
225,400	20,283	6,68
225,600	20,103	6,67
225,800	20,201	6,68
226,000	20,332	6,68
226,200	20,299	6,68
226,400	20,463	6,68
226,600	20,627	6,68
226,800	20,398	6,68
227,000	20,463	6,68
227,200	20,561	6,68
227,400	20,594	6,68
227,600	20,398	6,68
227,800	20,398	6,68
228,000	20,414	6,68
228,200	20,479	6,67
228,400	20,398	6,67
